"c_nation"|"s_nation"|"d_year"|"revenue"
"JAPAN"|"INDONESIA"|1997|55075720669.00
"INDONESIA"|"INDIA"|1997|54575581379.00
"INDONESIA"|"CHINA"|1997|54010285539.00
"INDONESIA"|"JAPAN"|1997|53845639893.00
"VIETNAM"|"JAPAN"|1997|53758827129.00
"CHINA"|"INDIA"|1997|53536957960.00
"INDIA"|"CHINA"|1997|53390668164.00
"VIETNAM"|"INDIA"|1997|53233146160.00
"VIETNAM"|"CHINA"|1997|53209456424.00
"CHINA"|"JAPAN"|1997|53062430140.00
"JAPAN"|"INDIA"|1997|53035316381.00
"CHINA"|"CHINA"|1997|53005861673.00
"INDIA"|"INDIA"|1997|52659699670.00
"INDIA"|"JAPAN"|1997|52289156834.00
"JAPAN"|"JAPAN"|1997|51950429772.00
"JAPAN"|"CHINA"|1997|51697126096.00
"CHINA"|"VIETNAM"|1997|51640164322.00
"INDONESIA"|"VIETNAM"|1997|51555937358.00
"VIETNAM"|"VIETNAM"|1997|50463506282.00
"INDIA"|"VIETNAM"|1997|50374353273.00
"JAPAN"|"VIETNAM"|1997|49162418930.00
