"sum"|"d_year"|"p_brand1"
7033319171.00|1993|"MFGR#1235"
6646328729.00|1993|"MFGR#1236"
7398342585.00|1993|"MFGR#1237"
6173788890.00|1993|"MFGR#1238"
6398484720.00|1993|"MFGR#1239"
7018451146.00|1993|"MFGR#124"
7054384279.00|1993|"MFGR#1240"
6768782589.00|1993|"MFGR#125"
6417969574.00|1993|"MFGR#126"
6597363428.00|1993|"MFGR#127"
7066209373.00|1993|"MFGR#128"
5969249911.00|1993|"MFGR#129"
6321768836.00|1994|"MFGR#121"
6458897097.00|1994|"MFGR#1210"
6876063982.00|1994|"MFGR#1211"
6605716653.00|1994|"MFGR#1212"
6442250106.00|1994|"MFGR#1213"
6605636659.00|1994|"MFGR#1214"
7065946515.00|1994|"MFGR#1215"
7066945406.00|1994|"MFGR#1216"
7376350918.00|1994|"MFGR#1217"
7041687661.00|1994|"MFGR#1218"
6622286203.00|1994|"MFGR#1219"
7177449616.00|1994|"MFGR#122"
6735203267.00|1994|"MFGR#1220"
7231265359.00|1994|"MFGR#1221"
6950729483.00|1994|"MFGR#1222"
6292350275.00|1994|"MFGR#1223"
7170421811.00|1994|"MFGR#1224"
6604090966.00|1994|"MFGR#1225"
7286672269.00|1994|"MFGR#1226"
6392639402.00|1994|"MFGR#1227"
7216556851.00|1994|"MFGR#1228"
6657442630.00|1994|"MFGR#1229"
6882429504.00|1994|"MFGR#123"
6517316338.00|1994|"MFGR#1230"
6791487059.00|1994|"MFGR#1231"
7526987653.00|1994|"MFGR#1232"
6682531239.00|1994|"MFGR#1233"
6946904490.00|1994|"MFGR#1234"
6993244217.00|1994|"MFGR#1235"
6842913927.00|1994|"MFGR#1236"
6729758697.00|1994|"MFGR#1237"
6024036595.00|1994|"MFGR#1238"
6421111643.00|1994|"MFGR#1239"
7045065590.00|1994|"MFGR#124"
6860573265.00|1994|"MFGR#1240"
6674380917.00|1994|"MFGR#125"
6568311513.00|1994|"MFGR#126"
6871745279.00|1994|"MFGR#127"
6741447472.00|1994|"MFGR#128"
6189603646.00|1994|"MFGR#129"
6368829497.00|1995|"MFGR#121"
6814727906.00|1995|"MFGR#1210"
7076447727.00|1995|"MFGR#1211"
6359108235.00|1995|"MFGR#1212"
7070468778.00|1995|"MFGR#1213"
6506257794.00|1995|"MFGR#1214"
6975926922.00|1995|"MFGR#1215"
6473624441.00|1995|"MFGR#1216"
7061747639.00|1995|"MFGR#1217"
6980304181.00|1995|"MFGR#1218"
6323613468.00|1995|"MFGR#1219"
7016558676.00|1995|"MFGR#122"
6528448200.00|1995|"MFGR#1220"
6638084088.00|1995|"MFGR#1221"
6758915034.00|1995|"MFGR#1222"
6554581885.00|1995|"MFGR#1223"
6631995842.00|1995|"MFGR#1224"
6566152931.00|1995|"MFGR#1225"
6896360674.00|1995|"MFGR#1226"
6374884878.00|1995|"MFGR#1227"
7190873122.00|1995|"MFGR#1228"
6544633651.00|1995|"MFGR#1229"
6455340911.00|1995|"MFGR#123"
6435294748.00|1995|"MFGR#1230"
6633301198.00|1995|"MFGR#1231"
7168251188.00|1995|"MFGR#1232"
6584852928.00|1995|"MFGR#1233"
6439086358.00|1995|"MFGR#1234"
7199254483.00|1995|"MFGR#1235"
6980818913.00|1995|"MFGR#1236"
7115650057.00|1995|"MFGR#1237"
5511548424.00|1995|"MFGR#1238"
6653093649.00|1995|"MFGR#1239"
6810838803.00|1995|"MFGR#124"
7028549361.00|1995|"MFGR#1240"
6871471029.00|1995|"MFGR#125"
6932539276.00|1995|"MFGR#126"
6496429055.00|1995|"MFGR#127"
6934508536.00|1995|"MFGR#128"
6350376626.00|1995|"MFGR#129"
6380983236.00|1996|"MFGR#121"
6803208899.00|1996|"MFGR#1210"
7205800515.00|1996|"MFGR#1211"
6527570889.00|1996|"MFGR#1212"
7085493003.00|1996|"MFGR#1213"
6719944425.00|1996|"MFGR#1214"
6629983485.00|1996|"MFGR#1215"
6792716581.00|1996|"MFGR#1216"
7395974437.00|1996|"MFGR#1217"
6914167635.00|1996|"MFGR#1218"
6831936298.00|1996|"MFGR#1219"
7057174350.00|1996|"MFGR#122"
6315006530.00|1996|"MFGR#1220"
7016225578.00|1996|"MFGR#1221"
6650140298.00|1996|"MFGR#1222"
6508354301.00|1996|"MFGR#1223"
7324131115.00|1996|"MFGR#1224"
7123619303.00|1996|"MFGR#1225"
6932916854.00|1996|"MFGR#1226"
6648890967.00|1996|"MFGR#1227"
7310914441.00|1996|"MFGR#1228"
6478631175.00|1996|"MFGR#1229"
6962186844.00|1996|"MFGR#123"
6540584060.00|1996|"MFGR#1230"
6767674884.00|1996|"MFGR#1231"
7199815846.00|1996|"MFGR#1232"
6799586670.00|1996|"MFGR#1233"
6586399836.00|1996|"MFGR#1234"
7209753033.00|1996|"MFGR#1235"
6994059357.00|1996|"MFGR#1236"
7456426461.00|1996|"MFGR#1237"
6096339133.00|1996|"MFGR#1238"
6323186977.00|1996|"MFGR#1239"
7110029031.00|1996|"MFGR#124"
7084450178.00|1996|"MFGR#1240"
6359995569.00|1996|"MFGR#125"
6560915763.00|1996|"MFGR#126"
6948241280.00|1996|"MFGR#127"
6463800259.00|1996|"MFGR#128"
6168113765.00|1996|"MFGR#129"
6409702180.00|1997|"MFGR#121"
6795372926.00|1997|"MFGR#1210"
6852509575.00|1997|"MFGR#1211"
6573951551.00|1997|"MFGR#1212"
6686343443.00|1997|"MFGR#1213"
6630127600.00|1997|"MFGR#1214"
7079477060.00|1997|"MFGR#1215"
6877592440.00|1997|"MFGR#1216"
7053041453.00|1997|"MFGR#1217"
6841323272.00|1997|"MFGR#1218"
6651946261.00|1997|"MFGR#1219"
7101221796.00|1997|"MFGR#122"
6613283998.00|1997|"MFGR#1220"
6892277556.00|1997|"MFGR#1221"
6551372899.00|1997|"MFGR#1222"
6465041111.00|1997|"MFGR#1223"
7373166413.00|1997|"MFGR#1224"
6804217225.00|1997|"MFGR#1225"
7185780867.00|1997|"MFGR#1226"
6713851455.00|1997|"MFGR#1227"
7038686432.00|1997|"MFGR#1228"
6481227038.00|1997|"MFGR#1229"
6280463233.00|1997|"MFGR#123"
6596531127.00|1997|"MFGR#1230"
6839363437.00|1997|"MFGR#1231"
7404918843.00|1997|"MFGR#1232"
6914572704.00|1997|"MFGR#1233"
6695984533.00|1997|"MFGR#1234"
7075150948.00|1997|"MFGR#1235"
6827320374.00|1997|"MFGR#1236"
7041724061.00|1997|"MFGR#1237"
6443513085.00|1997|"MFGR#1238"
6227318243.00|1997|"MFGR#1239"
6817087386.00|1997|"MFGR#124"
7056019394.00|1997|"MFGR#1240"
6416763567.00|1997|"MFGR#125"
6213627043.00|1997|"MFGR#126"
6765391794.00|1997|"MFGR#127"
6597639363.00|1997|"MFGR#128"
6164317597.00|1997|"MFGR#129"
3897319889.00|1998|"MFGR#121"
4031155909.00|1998|"MFGR#1210"
4206875087.00|1998|"MFGR#1211"
3995700043.00|1998|"MFGR#1212"
3879020994.00|1998|"MFGR#1213"
3877612287.00|1998|"MFGR#1214"
4186611264.00|1998|"MFGR#1215"
4038052807.00|1998|"MFGR#1216"
4085660284.00|1998|"MFGR#1217"
4094793738.00|1998|"MFGR#1218"
3888624381.00|1998|"MFGR#1219"
4285433697.00|1998|"MFGR#122"
3849625034.00|1998|"MFGR#1220"
4037218661.00|1998|"MFGR#1221"
3896317455.00|1998|"MFGR#1222"
3759502360.00|1998|"MFGR#1223"
4257699348.00|1998|"MFGR#1224"
3849042935.00|1998|"MFGR#1225"
4127678116.00|1998|"MFGR#1226"
3778698297.00|1998|"MFGR#1227"
4113524967.00|1998|"MFGR#1228"
3853230575.00|1998|"MFGR#1229"
3779977763.00|1998|"MFGR#123"
3818818425.00|1998|"MFGR#1230"
3871282231.00|1998|"MFGR#1231"
4368059744.00|1998|"MFGR#1232"
3582552481.00|1998|"MFGR#1233"
3890011027.00|1998|"MFGR#1234"
4244538731.00|1998|"MFGR#1235"
4103607505.00|1998|"MFGR#1236"
4358614959.00|1998|"MFGR#1237"
3447360470.00|1998|"MFGR#1238"
3657869124.00|1998|"MFGR#1239"
4075504776.00|1998|"MFGR#124"
4015325441.00|1998|"MFGR#1240"
3639974048.00|1998|"MFGR#125"
3773709964.00|1998|"MFGR#126"
3945522796.00|1998|"MFGR#127"
3942185810.00|1998|"MFGR#128"
3361726461.00|1998|"MFGR#129"
