"c_custkey"|"revenue"|"c_acctbal"|"n_name"
12289|490018.2097|2029.73|"FRANCE"
82414|489839.8196|47.42|"UNITED KINGDOM"
57500|489127.7477|8220.84|"ETHIOPIA"
40249|488633.8283|2387.46|"GERMANY"
47221|488091.9876|6385.10|"INDIA"
101881|487991.5299|6079.37|"GERMANY"
139720|486704.0936|3805.63|"VIETNAM"
110407|486320.5470|3931.75|"BRAZIL"
32116|484093.9033|3499.97|"JORDAN"
137554|481769.9548|8720.59|"GERMANY"
110149|481746.5157|4315.57|"ALGERIA"
47095|481453.9122|5953.73|"JAPAN"
19714|479363.6303|9620.93|"CHINA"
57718|479175.8656|-606.34|"CANADA"
9133|477972.1027|4733.08|"ALGERIA"
139879|477129.8154|7041.70|"BRAZIL"
72284|476591.4347|4299.42|"ALGERIA"
7684|476203.3105|3782.83|"IRAQ"
7510|474534.3640|2261.44|"INDONESIA"
102934|474180.5058|4520.91|"EGYPT"
25645|473722.8426|-244.46|"PERU"
5611|473614.9118|565.23|"IRAN"
55060|471572.1274|4247.05|"IRAN"
89140|471283.1021|9570.28|"PERU"
16859|470672.3219|866.06|"ROMANIA"
67865|470670.7181|1839.35|"JAPAN"
65749|469525.7511|5685.95|"JAPAN"
68549|467214.1328|4226.81|"MOZAMBIQUE"
89797|466700.4703|6699.19|"CHINA"
61123|466638.1743|-868.72|"ROMANIA"
27103|464423.0275|9411.93|"KENYA"
129188|464092.0545|9009.32|"UNITED KINGDOM"
84760|463797.7432|9656.12|"INDIA"
5113|463201.1791|4868.46|"ALGERIA"
112603|462881.5402|107.35|"UNITED STATES"
147373|462871.5417|5753.72|"RUSSIA"
75715|462206.4821|370.16|"ROMANIA"
138637|462171.2443|2406.60|"ETHIOPIA"
61199|462153.5295|9552.52|"CHINA"
36277|461984.5150|16.41|"ROMANIA"
26497|461680.9778|8264.89|"GERMANY"
110615|461456.4970|8963.53|"INDONESIA"
30766|460150.1078|8038.57|"INDONESIA"
30718|459807.8075|2596.48|"FRANCE"
79471|458465.7178|9293.02|"MOZAMBIQUE"
146756|458344.2395|107.25|"EGYPT"
856|458241.1138|6988.55|"MOROCCO"
131707|456787.3863|1800.08|"GERMANY"
29023|456741.3318|4531.00|"EGYPT"
90104|456349.9352|224.40|"CHINA"
118441|456279.1474|9489.92|"INDONESIA"
102754|455852.0079|677.85|"MOROCCO"
16847|454833.6421|9633.79|"ARGENTINA"
52369|454462.3688|5409.95|"MOROCCO"
23815|454262.4640|3981.12|"UNITED KINGDOM"
123832|454177.0686|-203.83|"INDIA"
131062|454162.3228|1450.95|"PERU"
89798|453428.0374|6271.35|"SAUDI ARABIA"
77296|453005.5871|1250.65|"BRAZIL"
80356|452909.7942|3727.75|"IRAQ"
132724|452731.7067|-619.05|"VIETNAM"
142015|451992.3155|3841.67|"UNITED KINGDOM"
31546|451426.4970|8876.80|"MOROCCO"
72361|450645.8530|-512.76|"JORDAN"
63823|450610.3020|7140.52|"CANADA"
144991|450592.7287|-828.91|"IRAQ"
4508|449957.1162|2170.05|"ETHIOPIA"
56263|449894.7588|1092.24|"ALGERIA"
84185|449644.3689|6913.01|"MOROCCO"
126556|449344.2208|4240.95|"MOZAMBIQUE"
149995|448651.1467|6103.74|"IRAN"
40207|448381.8288|8621.80|"INDONESIA"
60094|447836.1474|-408.23|"JAPAN"
23503|447686.7412|4610.54|"GERMANY"
148573|447489.1967|5652.89|"GERMANY"
145910|445807.7201|7034.38|"MOZAMBIQUE"
129644|444762.8208|4906.32|"PERU"
97108|444452.8040|5912.43|"ALGERIA"
135640|444397.5980|5058.00|"JAPAN"
115201|443107.8074|-505.45|"CANADA"
64831|442544.1226|5624.47|"PERU"
14896|442024.3581|4703.05|"INDIA"
113476|441617.0307|6141.34|"JORDAN"
113066|441458.3525|2908.44|"PERU"
116560|441184.1234|5025.79|"ARGENTINA"
17981|440679.2161|9040.30|"ALGERIA"
88279|439881.8690|186.89|"GERMANY"
84289|439740.9298|3286.99|"JORDAN"
105994|439450.6471|-662.94|"UNITED STATES"
149044|439343.3021|6268.87|"JAPAN"
102460|439141.5472|412.10|"IRAQ"
78103|438513.0561|4725.68|"CANADA"
82063|437613.1334|9897.17|"IRAN"
128455|437479.3563|6315.88|"JORDAN"
30037|436607.5163|-938.00|"IRAN"
25378|434249.6116|7051.97|"EGYPT"
54031|434011.2746|9916.49|"IRAN"
134560|433913.8907|2998.60|"INDIA"
20087|433749.0311|9948.25|"ETHIOPIA"
143975|432910.3500|8185.96|"KENYA"
130837|432751.8177|7324.63|"UNITED STATES"
92479|432490.0912|8777.65|"INDIA"
2648|432130.2515|2637.17|"CANADA"
35959|431572.8984|9359.88|"JORDAN"
6391|430694.0900|3923.68|"IRAN"
128519|430362.0561|700.83|"CANADA"
138247|430192.1480|3366.27|"INDIA"
75730|429933.4284|7917.94|"UNITED STATES"
112741|429717.0404|5034.11|"FRANCE"
3916|429418.4259|6798.34|"INDONESIA"
62851|429326.0695|2735.81|"RUSSIA"
111283|429277.4969|8385.81|"SAUDI ARABIA"
2005|428896.2652|-827.73|"IRAN"
26134|428667.7717|2826.61|"CHINA"
88312|428345.9717|18.46|"BRAZIL"
90379|428253.4288|3087.82|"EGYPT"
1412|428191.2656|6368.38|"IRAN"
142642|427918.6876|-421.39|"ETHIOPIA"
108961|427146.3626|3438.22|"UNITED STATES"
65792|426794.2956|8847.80|"GERMANY"
23368|425626.4730|9450.56|"KENYA"
127537|425085.8432|-176.86|"IRAQ"
59071|424744.2325|6874.46|"CHINA"
45100|424322.1687|1604.08|"MOZAMBIQUE"
145246|424273.0594|3511.88|"MOROCCO"
78622|424253.8278|268.84|"KENYA"
51634|424119.3078|-220.53|"RUSSIA"
81211|423518.3559|5225.48|"JORDAN"
10030|423224.7360|-831.35|"IRAN"
86332|423091.9662|8889.61|"CANADA"
109925|422750.6341|487.54|"ARGENTINA"
24946|422552.6205|8230.91|"ALGERIA"
97688|422320.6283|2470.68|"CANADA"
59242|422138.3391|2080.11|"FRANCE"
28153|421636.9322|9459.45|"ARGENTINA"
71179|421388.8673|6224.86|"PERU"
124807|421182.6941|8688.12|"JORDAN"
99118|420997.8079|1886.09|"PERU"
139837|420507.0236|8548.50|"JAPAN"
46258|419475.9010|2443.57|"VIETNAM"
99649|419302.2611|3202.74|"MOZAMBIQUE"
146092|418795.1254|3860.22|"ETHIOPIA"
30320|418001.4785|2931.23|"ETHIOPIA"
60004|417520.3576|7975.22|"IRAN"
5810|416523.5386|2292.84|"ALGERIA"
88225|416006.7131|9689.81|"MOROCCO"
64072|415817.0770|4713.52|"IRAN"
4645|415792.7517|-514.38|"ETHIOPIA"
70477|414994.2081|789.54|"UNITED STATES"
109351|414863.6837|346.84|"VIETNAM"
23560|414146.6589|1439.06|"ETHIOPIA"
29668|413130.7704|2559.05|"KENYA"
85909|412887.9212|7561.14|"ROMANIA"
48085|412853.9435|9660.91|"INDIA"
76459|412001.6315|420.80|"UNITED STATES"
54685|411974.9226|7776.62|"ALGERIA"
123014|411780.4070|-517.49|"ARGENTINA"
87637|411305.2327|8782.51|"JORDAN"
132394|411303.3986|7721.12|"JAPAN"
138823|410952.6291|9859.10|"IRAQ"
50515|410669.0925|-2.16|"INDIA"
131227|410189.6693|1415.32|"ARGENTINA"
50605|410114.8520|5287.38|"IRAQ"
86167|409692.3759|2561.79|"IRAQ"
80662|409553.1278|9133.85|"MOZAMBIQUE"
74596|409326.2529|3110.08|"UNITED STATES"
118814|408954.4594|2139.71|"IRAN"
71059|408790.1709|6029.94|"JAPAN"
13135|408663.7490|6388.37|"CANADA"
94523|408277.7977|5708.22|"FRANCE"
122140|407458.3656|6246.63|"CHINA"
92890|407229.8620|3422.55|"RUSSIA"
45898|407037.7086|9756.87|"MOROCCO"
88184|406798.9410|7818.07|"CHINA"
101534|406783.2057|4705.49|"ARGENTINA"
78658|406274.9490|-91.97|"SAUDI ARABIA"
66604|406171.7325|2908.33|"IRAN"
98917|406056.9614|3984.13|"GERMANY"
51910|405798.7818|9163.26|"UNITED KINGDOM"
57214|405646.3803|1647.20|"RUSSIA"
100885|405393.5352|6469.78|"INDONESIA"
68794|404909.1609|8328.17|"UNITED KINGDOM"
134683|404552.3250|4088.86|"SAUDI ARABIA"
113965|404524.9277|415.95|"JAPAN"
52693|404446.2843|4125.61|"RUSSIA"
75784|404423.8370|7585.42|"BRAZIL"
97274|404415.6861|7046.66|"JAPAN"
79667|404326.9752|2939.59|"UNITED STATES"
104872|404270.2690|5266.56|"IRAN"
28573|403988.9700|4495.57|"CHINA"
134089|403975.5084|-884.01|"ARGENTINA"
64298|403810.6168|7003.85|"PERU"
29044|403761.6023|1749.78|"ALGERIA"
20710|403332.6886|5807.78|"MOZAMBIQUE"
63517|403178.1912|7058.97|"UNITED KINGDOM"
11102|402885.1952|8162.13|"GERMANY"
5800|402681.7481|-906.44|"FRANCE"
104192|402542.2745|-460.31|"GERMANY"
101113|402420.9590|6768.34|"BRAZIL"
44053|402353.3368|4669.50|"MOZAMBIQUE"
84622|401963.5774|5137.20|"JAPAN"
113740|401067.0770|5983.45|"EGYPT"
91630|400770.5376|5001.36|"CANADA"
119842|400421.7174|952.63|"UNITED STATES"
15869|399993.1146|3906.71|"MOROCCO"
148018|399859.2739|7928.40|"UNITED STATES"
29233|399702.6789|3078.70|"CHINA"
14203|399572.3356|1793.35|"CANADA"
132607|399418.2208|8648.70|"ETHIOPIA"
25594|399383.0091|1528.53|"CANADA"
70396|399176.4950|4561.60|"CHINA"
35824|399062.6120|8562.51|"UNITED KINGDOM"
110488|399032.0558|7237.38|"MOROCCO"
4184|398677.3440|1134.27|"IRAQ"
90373|398257.8030|6493.47|"INDIA"
55756|397980.8382|8296.77|"PERU"
35354|397783.2007|7331.71|"INDIA"
113479|397773.3562|2102.69|"ETHIOPIA"
118426|397522.8708|5165.93|"JORDAN"
19681|396886.9756|3898.01|"CANADA"
66734|396179.5840|4993.26|"INDIA"
34591|396153.6567|729.81|"IRAQ"
125605|395899.0568|9686.34|"IRAN"
105058|395561.6555|8606.57|"VIETNAM"
133855|395139.0080|3220.60|"VIETNAM"
124777|395098.3460|3221.27|"JORDAN"
45133|395062.0808|2398.80|"MOZAMBIQUE"
11797|395020.1637|1345.48|"CHINA"
28615|394458.0544|6837.26|"BRAZIL"
18391|394116.9060|9607.05|"SAUDI ARABIA"
44287|393845.3382|770.42|"INDONESIA"
134260|392453.2793|3954.80|"ROMANIA"
88876|392429.5387|9128.54|"UNITED STATES"
4960|392427.7840|1933.99|"EGYPT"
115996|392168.4480|2429.57|"BRAZIL"
22895|392116.7783|5052.57|"MOROCCO"
89926|392071.5736|423.98|"SAUDI ARABIA"
76825|391794.5739|6881.95|"PERU"
136279|391720.8293|3510.94|"ALGERIA"
127909|391704.6750|3937.45|"JORDAN"
148537|391645.9277|2268.93|"JORDAN"
48790|391560.2303|-185.07|"ETHIOPIA"
75109|391458.9937|3121.31|"BRAZIL"
135586|390996.7336|5715.25|"SAUDI ARABIA"
11827|390793.0833|4860.09|"INDIA"
19195|390684.7375|8398.71|"INDIA"
35392|390558.8718|9485.81|"IRAN"
115429|390531.2242|6688.37|"CANADA"
95407|390253.2205|578.83|"ETHIOPIA"
105379|390239.3891|1422.74|"RUSSIA"
103834|389967.8961|5003.90|"IRAQ"
110683|389851.2606|6618.27|"BRAZIL"
74657|389805.7231|-776.23|"KENYA"
60334|389782.6442|8512.68|"PERU"
101074|389541.2697|1358.28|"GERMANY"
11731|389281.1595|1073.66|"ETHIOPIA"
101039|388780.1426|4218.46|"IRAQ"
52315|388614.3303|-317.53|"CANADA"
130598|388243.4820|2918.66|"VIETNAM"
71966|387446.3801|4802.28|"FRANCE"
38932|387378.2290|4939.46|"JORDAN"
142099|387083.4292|4373.55|"ALGERIA"
102637|386860.4742|-227.19|"MOROCCO"
11539|386696.3618|4304.43|"JAPAN"
122144|386209.0649|5072.22|"JAPAN"
52130|386125.3986|8257.29|"VIETNAM"
45515|386106.3524|6064.41|"INDONESIA"
988|386027.1030|7746.97|"CANADA"
46351|385786.7424|5100.11|"JAPAN"
54131|385734.0926|-357.45|"KENYA"
108232|385067.0308|7302.64|"IRAN"
26209|384505.7013|8368.47|"IRAQ"
94511|383745.6927|-826.55|"KENYA"
91960|383321.8594|-763.13|"IRAN"
87796|383186.4258|2766.36|"ROMANIA"
33112|383056.4381|8404.75|"RUSSIA"
137464|383044.1405|-161.76|"IRAN"
85174|382696.8629|9490.17|"JORDAN"
98377|382668.3824|7427.69|"INDIA"
126079|382537.2067|6016.47|"SAUDI ARABIA"
27775|382178.3951|1246.77|"IRAQ"
57118|382123.5466|541.88|"JAPAN"
108938|382073.5510|2440.08|"JAPAN"
135352|381619.6085|9523.87|"CHINA"
77332|381279.3760|8852.99|"KENYA"
57395|380818.7578|6214.60|"INDIA"
144935|380349.2339|9154.38|"ROMANIA"
121360|379934.2168|6068.86|"GERMANY"
83057|379924.5006|1087.92|"VIETNAM"
71182|379636.3103|2205.81|"GERMANY"
108115|379525.7445|9909.01|"BRAZIL"
147505|379465.9808|-183.86|"IRAN"
37759|379295.2900|5919.60|"UNITED KINGDOM"
89395|379148.4920|7586.19|"IRAN"
143656|378847.9410|6670.13|"RUSSIA"
80335|378773.9660|9618.91|"PERU"
138440|378694.4757|3766.49|"BRAZIL"
22597|378470.7530|-379.06|"JAPAN"
143788|378443.4089|-668.04|"INDIA"
145523|378096.2401|8528.60|"MOROCCO"
70126|377989.7500|3181.87|"RUSSIA"
103828|377837.9108|2715.08|"BRAZIL"
75160|377476.9371|5410.25|"IRAN"
31738|377336.2277|7576.71|"ETHIOPIA"
140531|376843.1522|6128.03|"IRAN"
100403|376790.4076|6085.06|"INDIA"
15160|376741.3212|3157.82|"IRAQ"
63889|376521.2982|4554.42|"VIETNAM"
54736|376469.9277|-601.44|"FRANCE"
106141|375957.5314|2017.38|"FRANCE"
123001|375670.7853|8100.02|"IRAQ"
62591|375479.5707|3278.08|"BRAZIL"
125540|375348.8757|6426.55|"KENYA"
976|375044.1338|7772.85|"ROMANIA"
112198|374938.6713|8006.39|"ARGENTINA"
124243|374844.7156|3553.99|"UNITED KINGDOM"
135892|373895.9278|7553.79|"INDONESIA"
73001|373796.8611|660.88|"PERU"
123041|373792.3095|7223.33|"PERU"
107099|373648.1945|2792.18|"MOZAMBIQUE"
44122|373400.2167|5901.76|"VIETNAM"
53119|373375.7520|4517.72|"UNITED STATES"
84769|372988.0689|9299.76|"FRANCE"
140809|372817.9079|4729.53|"MOROCCO"
117136|372614.1220|6431.61|"VIETNAM"
19933|372488.5049|3688.89|"BRAZIL"
137347|372464.0488|-145.66|"ROMANIA"
146203|372401.1903|4405.60|"ROMANIA"
14255|372397.1741|9213.06|"UNITED STATES"
26576|372357.0555|8213.58|"ROMANIA"
83701|371881.1720|3759.36|"INDIA"
3913|371541.2953|5572.00|"SAUDI ARABIA"
76951|371247.4233|3072.59|"ALGERIA"
26251|371242.0879|3429.33|"IRAQ"
65963|371159.3511|4771.79|"UNITED STATES"
118792|370983.6056|8799.99|"MOROCCO"
73738|370962.9233|4004.50|"SAUDI ARABIA"
10337|370951.6351|5523.75|"INDIA"
79114|370940.4589|1159.39|"RUSSIA"
112363|370261.0223|1153.25|"MOROCCO"
147379|370180.2505|5923.69|"JORDAN"
7342|369829.4066|2851.11|"VIETNAM"
3340|369485.6125|7139.80|"EGYPT"
29518|369374.7026|9244.62|"GERMANY"
140188|369302.8342|8993.25|"IRAN"
69070|369001.9825|1052.14|"MOROCCO"
149881|368901.6983|6003.68|"ROMANIA"
125575|368837.9491|4498.02|"BRAZIL"
139823|368790.9112|5023.03|"INDIA"
106219|368680.5613|4088.16|"CANADA"
112588|368415.9801|5304.65|"SAUDI ARABIA"
97342|368392.0895|9964.84|"FRANCE"
33898|368301.9547|1114.21|"INDIA"
88348|368246.9449|3573.32|"PERU"
127180|368011.4812|4938.95|"ARGENTINA"
128254|367917.4224|9437.97|"UNITED STATES"
68746|367687.8479|6534.31|"ARGENTINA"
75182|367661.7270|-323.39|"ALGERIA"
130102|367653.6704|-350.07|"ROMANIA"
57625|367444.5295|6542.11|"INDIA"
27869|367367.4576|3173.98|"KENYA"
44485|367266.3290|4543.02|"SAUDI ARABIA"
65509|367119.8631|7922.05|"RUSSIA"
144814|366973.7088|8703.55|"ROMANIA"
2567|366953.3209|5600.22|"ETHIOPIA"
49555|366876.4158|2500.48|"CANADA"
74114|366718.8932|7784.07|"MOROCCO"
8476|366613.6058|2616.94|"UNITED STATES"
59263|366568.4643|5787.04|"ROMANIA"
91747|366480.4456|653.22|"RUSSIA"
33091|366451.1002|9823.77|"SAUDI ARABIA"
146050|366409.6990|8858.24|"ROMANIA"
66619|366077.2827|3205.19|"UNITED KINGDOM"
148778|366052.7304|7473.99|"JAPAN"
107974|365883.1507|475.75|"ARGENTINA"
83914|365123.6620|3984.92|"EGYPT"
5605|365122.5034|1463.76|"GERMANY"
24415|364945.3141|1679.10|"INDONESIA"
33241|364654.6680|5916.16|"PERU"
91276|364533.4074|6503.99|"UNITED KINGDOM"
102451|364278.1986|6489.31|"INDONESIA"
60517|363759.5096|3022.31|"CANADA"
138370|363622.0179|7751.93|"VIETNAM"
113410|362881.3147|1017.04|"RUSSIA"
124729|362771.3372|6498.28|"UNITED KINGDOM"
112315|362490.7381|747.55|"MOROCCO"
90994|362332.7778|7964.20|"JORDAN"
140530|362301.0925|2629.57|"VIETNAM"
143558|362226.5293|1656.97|"BRAZIL"
59843|362127.2121|4683.69|"INDIA"
141400|362114.0151|2776.39|"MOZAMBIQUE"
124375|362094.1477|3473.26|"IRAN"
16225|361979.7987|6592.02|"RUSSIA"
57871|361811.5196|6382.14|"UNITED KINGDOM"
117445|361791.0003|9442.55|"MOZAMBIQUE"
36934|361759.3350|5928.79|"IRAN"
6586|361514.2086|9955.66|"JORDAN"
135076|361418.8833|3819.12|"INDIA"
138241|361372.5945|4064.95|"ETHIOPIA"
24838|361101.5525|6811.76|"ARGENTINA"
53719|361023.9453|2538.53|"PERU"
31576|360905.1018|6313.80|"ARGENTINA"
63761|360818.8117|5378.05|"INDONESIA"
109538|360804.1743|62.70|"PERU"
16919|360684.7009|4879.39|"MOROCCO"
21250|360681.2286|2746.95|"MOROCCO"
101219|360525.2114|4208.81|"UNITED STATES"
143965|360523.0905|9333.45|"EGYPT"
108988|360411.8890|5094.97|"GERMANY"
92809|360313.1962|8070.41|"IRAQ"
37051|360258.2323|372.13|"VIETNAM"
29443|360093.7222|7963.39|"INDONESIA"
137434|359732.7702|5771.86|"JORDAN"
139760|359491.6890|1351.62|"BRAZIL"
6908|359393.9237|9321.69|"CHINA"
4963|358608.8757|4131.22|"ETHIOPIA"
105688|358578.7200|6087.64|"CHINA"
129292|358559.8244|2646.64|"GERMANY"
71935|358548.1364|4162.79|"FRANCE"
82354|358205.2093|2240.36|"INDIA"
137893|358133.5305|5212.07|"RUSSIA"
30979|357946.9628|4150.65|"GERMANY"
104212|357904.9458|9696.34|"JAPAN"
95842|357810.0461|9434.87|"UNITED KINGDOM"
135940|357566.2502|4315.85|"PERU"
56605|357511.9822|7363.04|"PERU"
128035|357472.4330|8823.16|"VIETNAM"
63292|357367.6079|2518.31|"CANADA"
46033|357019.2650|8561.86|"MOROCCO"
112876|356821.1332|-365.17|"SAUDI ARABIA"
48316|356810.8835|3391.09|"UNITED STATES"
21112|356488.5745|-22.85|"KENYA"
76735|356310.8097|2991.28|"JAPAN"
103625|356239.7225|-982.30|"MOROCCO"
104401|355849.9128|81.81|"ROMANIA"
138457|355813.3836|4984.34|"JAPAN"
12913|355690.6995|5749.91|"BRAZIL"
68195|355423.0419|9148.39|"INDIA"
133705|355149.8244|-649.80|"JORDAN"
37495|355118.8133|4874.81|"UNITED KINGDOM"
65500|355078.1392|1252.35|"ARGENTINA"
20992|355068.3180|2830.85|"PERU"
91441|354730.4895|8076.32|"PERU"
108220|354652.0560|8802.68|"JORDAN"
11188|354629.4834|9707.79|"BRAZIL"
8986|354586.0317|7486.06|"INDIA"
138358|354493.4932|3280.74|"IRAQ"
67895|354409.1610|5284.83|"JORDAN"
19066|354302.0155|2764.20|"CANADA"
79877|354210.4177|4087.73|"ETHIOPIA"
114788|354197.6072|4760.59|"ETHIOPIA"
119710|354090.1778|4661.97|"ALGERIA"
29816|353879.9769|4762.55|"BRAZIL"
100442|353723.0910|4792.58|"JAPAN"
30886|353517.8380|2522.33|"ARGENTINA"
55834|353494.8898|39.35|"CANADA"
91292|353409.1910|5492.77|"INDONESIA"
125435|353355.8503|7279.25|"FRANCE"
35692|353317.5943|1493.09|"CANADA"
145162|353105.7701|2005.52|"EGYPT"
17224|353091.6375|7669.10|"UNITED STATES"
44041|352984.7101|8768.91|"GERMANY"
71452|352936.4462|4304.17|"GERMANY"
2218|352745.5680|7848.39|"ALGERIA"
73213|352556.4214|6349.90|"VIETNAM"
74206|352470.0032|1392.22|"ROMANIA"
60202|352251.4701|223.03|"UNITED KINGDOM"
84611|352109.2605|4050.19|"JAPAN"
53185|352063.5871|7129.11|"SAUDI ARABIA"
133159|351986.9678|8913.89|"ETHIOPIA"
103258|351590.1437|8250.16|"MOZAMBIQUE"
112001|351390.7434|5966.34|"RUSSIA"
27122|351223.1215|-341.11|"IRAN"
139249|351152.0213|3553.06|"RUSSIA"
121414|351010.3669|-275.72|"CHINA"
68500|350956.5558|-444.28|"BRAZIL"
71051|350874.9601|9388.80|"FRANCE"
39310|350643.6178|6781.36|"IRAQ"
89683|350632.1255|1483.07|"ETHIOPIA"
104050|350604.6926|5461.50|"CANADA"
78655|350501.3563|5127.25|"MOZAMBIQUE"
70528|350393.3386|1779.34|"IRAN"
101743|350364.2220|6873.19|"EGYPT"
48961|350149.6618|5946.45|"JAPAN"
29809|350098.5088|6928.82|"MOROCCO"
52186|350072.7204|4115.52|"ETHIOPIA"
54475|349856.7781|7947.29|"IRAN"
6574|349816.5218|1972.26|"PERU"
106918|349632.3615|5930.83|"JORDAN"
19207|349525.1494|7258.41|"GERMANY"
15670|349224.8544|7079.40|"ALGERIA"
73138|348870.4152|7913.81|"EGYPT"
40864|348862.0168|1762.99|"EGYPT"
8981|348767.9558|-633.22|"ETHIOPIA"
37289|348429.1499|8579.90|"ARGENTINA"
11453|348340.1074|-980.66|"MOROCCO"
146689|348244.3632|3203.01|"ROMANIA"
93250|348071.7311|7674.70|"PERU"
109327|347964.2348|5130.54|"IRAQ"
78589|347930.1744|5990.73|"UNITED STATES"
70957|347781.9397|1268.94|"ALGERIA"
71837|347473.7261|5949.20|"MOZAMBIQUE"
143719|347413.5835|6666.00|"INDONESIA"
11932|347346.2491|-35.67|"IRAQ"
129625|347230.3924|9126.06|"PERU"
109531|346924.9048|5889.12|"MOROCCO"
844|346922.3678|2954.90|"IRAQ"
70522|346857.2040|357.74|"VIETNAM"
35797|346776.3800|5333.84|"JORDAN"
6880|346273.1775|225.45|"UNITED STATES"
131167|346226.8324|-205.63|"CHINA"
32452|346219.1807|2070.40|"GERMANY"
96001|346131.0392|23.66|"INDIA"
40960|346105.4372|6.92|"VIETNAM"
78964|345990.3490|3105.63|"UNITED STATES"
146650|345915.3070|7560.27|"INDONESIA"
17200|345623.2423|4554.80|"INDONESIA"
56131|345621.4255|6871.08|"ARGENTINA"
39838|345529.1460|-169.45|"MOROCCO"
14650|345430.0038|5423.62|"ETHIOPIA"
142426|345217.9431|-518.28|"JORDAN"
135310|345206.5705|-749.21|"UNITED KINGDOM"
115742|345205.5110|5832.63|"ARGENTINA"
141115|344830.9446|7435.50|"INDONESIA"
113242|344805.4577|9351.47|"IRAQ"
113080|344709.6400|4778.24|"UNITED KINGDOM"
52120|344392.3205|3417.76|"GERMANY"
43336|344369.2461|7873.63|"INDIA"
29303|344366.0544|1360.29|"INDIA"
69727|344203.6298|208.53|"JORDAN"
71104|344141.5750|3875.39|"ARGENTINA"
26650|344075.7228|9932.22|"CANADA"
99733|344004.4768|3911.67|"IRAQ"
11029|343785.7205|-663.86|"FRANCE"
92399|343653.3842|8066.00|"IRAQ"
101086|343614.0346|4444.66|"INDIA"
36613|343585.1393|5722.32|"SAUDI ARABIA"
73748|343489.6769|2369.74|"ALGERIA"
41203|343479.3997|2344.24|"EGYPT"
75127|343372.0718|-912.45|"ETHIOPIA"
22456|343177.0835|3176.87|"UNITED KINGDOM"
17150|343019.8446|931.86|"IRAQ"
116467|343001.5626|5809.65|"UNITED STATES"
66158|342942.7744|5862.48|"KENYA"
83209|342862.3784|310.70|"FRANCE"
87817|342690.0290|4148.93|"JORDAN"
17314|342687.1522|7412.85|"MOZAMBIQUE"
87679|341951.2488|7250.59|"ROMANIA"
