"c_city"|"s_city"|"d_year"|"revenue"
"UNITED ST0"|"UNITED ST6"|1992|42471806.00
"UNITED ST6"|"UNITED ST8"|1992|42463690.00
"UNITED ST8"|"UNITED ST7"|1992|41897901.00
"UNITED ST3"|"UNITED ST8"|1992|41275764.00
"UNITED ST6"|"UNITED ST9"|1992|40591721.00
"UNITED ST0"|"UNITED ST5"|1992|40120886.00
"UNITED ST1"|"UNITED ST4"|1992|39326346.00
"UNITED ST3"|"UNITED ST7"|1992|39028579.00
"UNITED ST3"|"UNITED ST6"|1992|38798715.00
"UNITED ST9"|"UNITED ST9"|1992|36048343.00
"UNITED ST2"|"UNITED ST8"|1992|36046449.00
"UNITED ST2"|"UNITED ST3"|1992|35981963.00
"UNITED ST8"|"UNITED ST1"|1992|35680752.00
"UNITED ST1"|"UNITED ST6"|1992|35404990.00
"UNITED ST8"|"UNITED ST5"|1992|35187610.00
"UNITED ST1"|"UNITED ST5"|1992|33971251.00
"UNITED ST5"|"UNITED ST8"|1992|33878053.00
"UNITED ST2"|"UNITED ST7"|1992|33702779.00
"UNITED ST8"|"UNITED ST3"|1992|30949324.00
"UNITED ST8"|"UNITED ST8"|1992|29309108.00
"UNITED ST5"|"UNITED ST5"|1992|29279568.00
"UNITED ST1"|"UNITED ST8"|1992|28565579.00
"UNITED ST9"|"UNITED ST5"|1992|28075004.00
"UNITED ST2"|"UNITED ST6"|1992|27813739.00
"UNITED ST0"|"UNITED ST2"|1992|27718733.00
"UNITED ST2"|"UNITED ST2"|1992|25743654.00
"UNITED ST8"|"UNITED ST9"|1992|22684471.00
"UNITED ST4"|"UNITED ST8"|1992|21928442.00
"UNITED ST9"|"UNITED ST8"|1992|21386100.00
"UNITED ST5"|"UNITED ST2"|1992|20495817.00
"UNITED ST6"|"UNITED ST6"|1992|18137105.00
"UNITED ST9"|"UNITED ST6"|1992|15879568.00
"UNITED ST4"|"UNITED ST2"|1992|12061845.00
"UNITED ST7"|"UNITED ST8"|1992|11895702.00
"UNITED ST6"|"UNITED ST2"|1992|11820698.00
"UNITED ST9"|"UNITED ST2"|1992|11623177.00
"UNITED ST8"|"UNITED ST2"|1992|10971561.00
"UNITED ST1"|"UNITED ST2"|1992|7706728.00
"UNITED ST7"|"UNITED ST2"|1992|4943204.00
"UNITED ST3"|"UNITED ST2"|1992|1097208.00
"UNITED ST0"|"UNITED ST9"|1993|109834040.00
"UNITED ST7"|"UNITED ST0"|1993|109788024.00
"UNITED ST5"|"UNITED ST0"|1993|106822597.00
"UNITED ST0"|"UNITED ST0"|1993|106742548.00
"UNITED ST1"|"UNITED ST0"|1993|99305952.00
"UNITED ST4"|"UNITED ST4"|1993|98150465.00
"UNITED ST3"|"UNITED ST4"|1993|92493920.00
"UNITED ST0"|"UNITED ST1"|1993|91196593.00
"UNITED ST4"|"UNITED ST1"|1993|88521423.00
"UNITED ST8"|"UNITED ST0"|1993|88356371.00
"UNITED ST4"|"UNITED ST7"|1993|88172198.00
"UNITED ST4"|"UNITED ST0"|1993|86918458.00
"UNITED ST6"|"UNITED ST3"|1993|83417161.00
"UNITED ST6"|"UNITED ST1"|1993|83345939.00
"UNITED ST7"|"UNITED ST9"|1993|80310701.00
"UNITED ST3"|"UNITED ST1"|1993|78230278.00
"UNITED ST6"|"UNITED ST7"|1993|78197294.00
"UNITED ST5"|"UNITED ST9"|1993|76286539.00
"UNITED ST0"|"UNITED ST3"|1993|76171283.00
"UNITED ST5"|"UNITED ST8"|1993|74359279.00
"UNITED ST9"|"UNITED ST1"|1993|74059419.00
"UNITED ST4"|"UNITED ST9"|1993|73296959.00
"UNITED ST5"|"UNITED ST1"|1993|71454623.00
"UNITED ST6"|"UNITED ST4"|1993|69646913.00
"UNITED ST2"|"UNITED ST1"|1993|69631701.00
"UNITED ST6"|"UNITED ST0"|1993|68247539.00
"UNITED ST7"|"UNITED ST7"|1993|68109820.00
"UNITED ST2"|"UNITED ST3"|1993|66972438.00
"UNITED ST3"|"UNITED ST0"|1993|66626926.00
"UNITED ST9"|"UNITED ST7"|1993|66625483.00
"UNITED ST1"|"UNITED ST8"|1993|66146198.00
"UNITED ST2"|"UNITED ST7"|1993|64185014.00
"UNITED ST5"|"UNITED ST4"|1993|63415639.00
"UNITED ST9"|"UNITED ST9"|1993|63260763.00
"UNITED ST1"|"UNITED ST4"|1993|62884347.00
"UNITED ST7"|"UNITED ST4"|1993|61656613.00
"UNITED ST3"|"UNITED ST6"|1993|58584808.00
"UNITED ST2"|"UNITED ST4"|1993|56650391.00
"UNITED ST3"|"UNITED ST5"|1993|55907305.00
"UNITED ST6"|"UNITED ST9"|1993|54900942.00
"UNITED ST1"|"UNITED ST7"|1993|54851183.00
"UNITED ST3"|"UNITED ST9"|1993|54762596.00
"UNITED ST8"|"UNITED ST6"|1993|54633062.00
"UNITED ST8"|"UNITED ST3"|1993|54049874.00
"UNITED ST5"|"UNITED ST7"|1993|52745538.00
"UNITED ST0"|"UNITED ST5"|1993|52701052.00
"UNITED ST1"|"UNITED ST9"|1993|52514902.00
"UNITED ST8"|"UNITED ST5"|1993|52237837.00
"UNITED ST1"|"UNITED ST3"|1993|52097946.00
"UNITED ST8"|"UNITED ST4"|1993|51419356.00
"UNITED ST0"|"UNITED ST6"|1993|50432282.00
"UNITED ST5"|"UNITED ST5"|1993|50357189.00
"UNITED ST3"|"UNITED ST7"|1993|50135448.00
"UNITED ST0"|"UNITED ST4"|1993|49260067.00
"UNITED ST0"|"UNITED ST7"|1993|48796360.00
"UNITED ST2"|"UNITED ST9"|1993|48188507.00
"UNITED ST1"|"UNITED ST1"|1993|47538610.00
"UNITED ST9"|"UNITED ST3"|1993|46943647.00
"UNITED ST7"|"UNITED ST5"|1993|44763692.00
"UNITED ST1"|"UNITED ST6"|1993|44728540.00
"UNITED ST8"|"UNITED ST1"|1993|44415434.00
"UNITED ST7"|"UNITED ST8"|1993|43902628.00
"UNITED ST9"|"UNITED ST6"|1993|43867160.00
"UNITED ST2"|"UNITED ST0"|1993|42845485.00
"UNITED ST3"|"UNITED ST8"|1993|42251848.00
"UNITED ST0"|"UNITED ST8"|1993|42002682.00
"UNITED ST4"|"UNITED ST8"|1993|41657582.00
"UNITED ST1"|"UNITED ST5"|1993|40693513.00
"UNITED ST9"|"UNITED ST5"|1993|39685269.00
"UNITED ST7"|"UNITED ST3"|1993|39523861.00
"UNITED ST8"|"UNITED ST8"|1993|38790235.00
"UNITED ST8"|"UNITED ST9"|1993|38516361.00
"UNITED ST2"|"UNITED ST5"|1993|37406845.00
"UNITED ST9"|"UNITED ST8"|1993|37184696.00
"UNITED ST8"|"UNITED ST7"|1993|36902218.00
"UNITED ST6"|"UNITED ST8"|1993|36456741.00
"UNITED ST7"|"UNITED ST1"|1993|34391159.00
"UNITED ST6"|"UNITED ST5"|1993|34229082.00
"UNITED ST5"|"UNITED ST3"|1993|34031811.00
"UNITED ST2"|"UNITED ST8"|1993|33445446.00
"UNITED ST4"|"UNITED ST3"|1993|33129412.00
"UNITED ST6"|"UNITED ST6"|1993|33050663.00
"UNITED ST9"|"UNITED ST0"|1993|32653305.00
"UNITED ST4"|"UNITED ST6"|1993|30699255.00
"UNITED ST9"|"UNITED ST4"|1993|30644687.00
"UNITED ST4"|"UNITED ST5"|1993|29119594.00
"UNITED ST7"|"UNITED ST6"|1993|27100502.00
"UNITED ST4"|"UNITED ST2"|1993|27012678.00
"UNITED ST2"|"UNITED ST6"|1993|26482226.00
"UNITED ST5"|"UNITED ST6"|1993|25357679.00
"UNITED ST3"|"UNITED ST3"|1993|21777144.00
"UNITED ST3"|"UNITED ST2"|1993|21559073.00
"UNITED ST5"|"UNITED ST2"|1993|20610242.00
"UNITED ST7"|"UNITED ST2"|1993|20219304.00
"UNITED ST6"|"UNITED ST2"|1993|18814367.00
"UNITED ST9"|"UNITED ST2"|1993|17718390.00
"UNITED ST1"|"UNITED ST2"|1993|16844538.00
"UNITED ST0"|"UNITED ST2"|1993|15042145.00
"UNITED ST2"|"UNITED ST2"|1993|14521995.00
"UNITED ST8"|"UNITED ST2"|1993|9984366.00
"UNITED ST8"|"UNITED ST0"|1994|99220789.00
"UNITED ST3"|"UNITED ST9"|1994|97476185.00
"UNITED ST6"|"UNITED ST1"|1994|96937147.00
"UNITED ST6"|"UNITED ST9"|1994|94683309.00
"UNITED ST9"|"UNITED ST1"|1994|90440948.00
"UNITED ST0"|"UNITED ST9"|1994|89865202.00
"UNITED ST5"|"UNITED ST7"|1994|89089961.00
"UNITED ST9"|"UNITED ST0"|1994|87670573.00
"UNITED ST3"|"UNITED ST1"|1994|85523653.00
"UNITED ST4"|"UNITED ST9"|1994|83822393.00
"UNITED ST0"|"UNITED ST0"|1994|83526877.00
"UNITED ST7"|"UNITED ST0"|1994|82265536.00
"UNITED ST2"|"UNITED ST1"|1994|81300089.00
"UNITED ST5"|"UNITED ST0"|1994|78648057.00
"UNITED ST4"|"UNITED ST7"|1994|76954140.00
"UNITED ST4"|"UNITED ST4"|1994|76837381.00
"UNITED ST0"|"UNITED ST1"|1994|76613379.00
"UNITED ST1"|"UNITED ST3"|1994|75992459.00
"UNITED ST7"|"UNITED ST1"|1994|75320799.00
"UNITED ST4"|"UNITED ST0"|1994|73719340.00
"UNITED ST5"|"UNITED ST1"|1994|73508418.00
"UNITED ST4"|"UNITED ST1"|1994|72219557.00
"UNITED ST2"|"UNITED ST9"|1994|69671054.00
"UNITED ST6"|"UNITED ST5"|1994|66461534.00
"UNITED ST2"|"UNITED ST3"|1994|65620760.00
"UNITED ST3"|"UNITED ST0"|1994|65522727.00
"UNITED ST5"|"UNITED ST3"|1994|65334911.00
"UNITED ST7"|"UNITED ST4"|1994|64778715.00
"UNITED ST3"|"UNITED ST4"|1994|63412365.00
"UNITED ST8"|"UNITED ST4"|1994|62141681.00
"UNITED ST0"|"UNITED ST4"|1994|61519744.00
"UNITED ST0"|"UNITED ST7"|1994|61480820.00
"UNITED ST0"|"UNITED ST6"|1994|61288778.00
"UNITED ST2"|"UNITED ST0"|1994|60182153.00
"UNITED ST6"|"UNITED ST4"|1994|59829989.00
"UNITED ST4"|"UNITED ST5"|1994|59397028.00
"UNITED ST8"|"UNITED ST9"|1994|58666906.00
"UNITED ST4"|"UNITED ST6"|1994|58633482.00
"UNITED ST5"|"UNITED ST5"|1994|56235213.00
"UNITED ST6"|"UNITED ST3"|1994|56123238.00
"UNITED ST2"|"UNITED ST4"|1994|55679377.00
"UNITED ST8"|"UNITED ST3"|1994|55203841.00
"UNITED ST1"|"UNITED ST1"|1994|54383174.00
"UNITED ST1"|"UNITED ST7"|1994|53853106.00
"UNITED ST6"|"UNITED ST0"|1994|53728853.00
"UNITED ST5"|"UNITED ST9"|1994|53367331.00
"UNITED ST9"|"UNITED ST9"|1994|51980849.00
"UNITED ST5"|"UNITED ST4"|1994|51799593.00
"UNITED ST7"|"UNITED ST9"|1994|50144085.00
"UNITED ST7"|"UNITED ST7"|1994|46446442.00
"UNITED ST6"|"UNITED ST6"|1994|46199722.00
"UNITED ST7"|"UNITED ST5"|1994|45895364.00
"UNITED ST3"|"UNITED ST3"|1994|45627153.00
"UNITED ST8"|"UNITED ST5"|1994|44553056.00
"UNITED ST9"|"UNITED ST4"|1994|43910761.00
"UNITED ST1"|"UNITED ST0"|1994|43225201.00
"UNITED ST1"|"UNITED ST9"|1994|43000037.00
"UNITED ST7"|"UNITED ST8"|1994|42776467.00
"UNITED ST0"|"UNITED ST5"|1994|41808301.00
"UNITED ST2"|"UNITED ST6"|1994|41526105.00
"UNITED ST1"|"UNITED ST4"|1994|41381558.00
"UNITED ST3"|"UNITED ST7"|1994|40935131.00
"UNITED ST8"|"UNITED ST1"|1994|40152096.00
"UNITED ST9"|"UNITED ST8"|1994|39278808.00
"UNITED ST5"|"UNITED ST6"|1994|38658451.00
"UNITED ST2"|"UNITED ST5"|1994|37640317.00
"UNITED ST8"|"UNITED ST7"|1994|37600687.00
"UNITED ST9"|"UNITED ST5"|1994|37146726.00
"UNITED ST6"|"UNITED ST7"|1994|37057808.00
"UNITED ST8"|"UNITED ST6"|1994|36776569.00
"UNITED ST3"|"UNITED ST6"|1994|36290257.00
"UNITED ST9"|"UNITED ST3"|1994|35846500.00
"UNITED ST2"|"UNITED ST8"|1994|33767774.00
"UNITED ST0"|"UNITED ST8"|1994|31845433.00
"UNITED ST4"|"UNITED ST3"|1994|31599433.00
"UNITED ST9"|"UNITED ST7"|1994|31586173.00
"UNITED ST1"|"UNITED ST6"|1994|31287326.00
"UNITED ST1"|"UNITED ST8"|1994|30245153.00
"UNITED ST7"|"UNITED ST3"|1994|29424840.00
"UNITED ST9"|"UNITED ST6"|1994|29212927.00
"UNITED ST0"|"UNITED ST3"|1994|27327829.00
"UNITED ST6"|"UNITED ST8"|1994|26592996.00
"UNITED ST3"|"UNITED ST5"|1994|26197875.00
"UNITED ST6"|"UNITED ST2"|1994|25809000.00
"UNITED ST1"|"UNITED ST5"|1994|24939138.00
"UNITED ST7"|"UNITED ST6"|1994|24631937.00
"UNITED ST1"|"UNITED ST2"|1994|23556586.00
"UNITED ST4"|"UNITED ST2"|1994|23035892.00
"UNITED ST2"|"UNITED ST7"|1994|22182758.00
"UNITED ST0"|"UNITED ST2"|1994|22017954.00
"UNITED ST4"|"UNITED ST8"|1994|20685352.00
"UNITED ST7"|"UNITED ST2"|1994|19655081.00
"UNITED ST5"|"UNITED ST8"|1994|18931891.00
"UNITED ST2"|"UNITED ST2"|1994|18068657.00
"UNITED ST3"|"UNITED ST8"|1994|15936051.00
"UNITED ST8"|"UNITED ST8"|1994|10023412.00
"UNITED ST3"|"UNITED ST2"|1994|9995234.00
"UNITED ST9"|"UNITED ST2"|1994|9700989.00
"UNITED ST5"|"UNITED ST2"|1994|7162796.00
"UNITED ST8"|"UNITED ST2"|1994|3789626.00
"UNITED ST5"|"UNITED ST1"|1995|119793669.00
"UNITED ST4"|"UNITED ST9"|1995|99490068.00
"UNITED ST7"|"UNITED ST0"|1995|98031295.00
"UNITED ST6"|"UNITED ST0"|1995|91718471.00
"UNITED ST4"|"UNITED ST1"|1995|90878653.00
"UNITED ST0"|"UNITED ST1"|1995|90763599.00
"UNITED ST8"|"UNITED ST9"|1995|88855089.00
"UNITED ST7"|"UNITED ST7"|1995|86571624.00
"UNITED ST3"|"UNITED ST0"|1995|84462733.00
"UNITED ST9"|"UNITED ST1"|1995|82938967.00
"UNITED ST2"|"UNITED ST4"|1995|82432305.00
"UNITED ST1"|"UNITED ST0"|1995|81676623.00
"UNITED ST5"|"UNITED ST4"|1995|81016761.00
"UNITED ST7"|"UNITED ST1"|1995|79964362.00
"UNITED ST5"|"UNITED ST3"|1995|78099130.00
"UNITED ST5"|"UNITED ST0"|1995|77615746.00
"UNITED ST9"|"UNITED ST9"|1995|76515958.00
"UNITED ST7"|"UNITED ST9"|1995|75317709.00
"UNITED ST4"|"UNITED ST4"|1995|74587071.00
"UNITED ST9"|"UNITED ST4"|1995|72525686.00
"UNITED ST1"|"UNITED ST9"|1995|72470870.00
"UNITED ST4"|"UNITED ST7"|1995|69264407.00
"UNITED ST6"|"UNITED ST3"|1995|67513062.00
"UNITED ST2"|"UNITED ST3"|1995|65218129.00
"UNITED ST2"|"UNITED ST9"|1995|65055178.00
"UNITED ST7"|"UNITED ST6"|1995|65020671.00
"UNITED ST3"|"UNITED ST1"|1995|64762815.00
"UNITED ST1"|"UNITED ST1"|1995|64199332.00
"UNITED ST6"|"UNITED ST9"|1995|63457105.00
"UNITED ST0"|"UNITED ST9"|1995|63253499.00
"UNITED ST5"|"UNITED ST9"|1995|62364897.00
"UNITED ST4"|"UNITED ST5"|1995|62081505.00
"UNITED ST1"|"UNITED ST7"|1995|61515741.00
"UNITED ST2"|"UNITED ST7"|1995|60000208.00
"UNITED ST8"|"UNITED ST6"|1995|58990404.00
"UNITED ST1"|"UNITED ST4"|1995|57535599.00
"UNITED ST0"|"UNITED ST3"|1995|56360708.00
"UNITED ST8"|"UNITED ST0"|1995|55231664.00
"UNITED ST5"|"UNITED ST7"|1995|53740759.00
"UNITED ST2"|"UNITED ST0"|1995|52560838.00
"UNITED ST3"|"UNITED ST7"|1995|51579548.00
"UNITED ST9"|"UNITED ST0"|1995|51548621.00
"UNITED ST6"|"UNITED ST6"|1995|50954677.00
"UNITED ST5"|"UNITED ST5"|1995|50394007.00
"UNITED ST7"|"UNITED ST4"|1995|49899545.00
"UNITED ST3"|"UNITED ST3"|1995|48158089.00
"UNITED ST6"|"UNITED ST4"|1995|47697241.00
"UNITED ST9"|"UNITED ST7"|1995|46464589.00
"UNITED ST4"|"UNITED ST0"|1995|46142899.00
"UNITED ST1"|"UNITED ST3"|1995|45823056.00
"UNITED ST2"|"UNITED ST1"|1995|45437340.00
"UNITED ST6"|"UNITED ST5"|1995|45428152.00
"UNITED ST8"|"UNITED ST5"|1995|44994863.00
"UNITED ST7"|"UNITED ST3"|1995|43699734.00
"UNITED ST9"|"UNITED ST6"|1995|43482494.00
"UNITED ST2"|"UNITED ST5"|1995|43382417.00
"UNITED ST6"|"UNITED ST8"|1995|41973920.00
"UNITED ST0"|"UNITED ST6"|1995|40718942.00
"UNITED ST3"|"UNITED ST5"|1995|40057815.00
"UNITED ST7"|"UNITED ST5"|1995|39015293.00
"UNITED ST0"|"UNITED ST0"|1995|38984502.00
"UNITED ST6"|"UNITED ST1"|1995|38328352.00
"UNITED ST4"|"UNITED ST6"|1995|38109524.00
"UNITED ST3"|"UNITED ST9"|1995|37364623.00
"UNITED ST4"|"UNITED ST3"|1995|37356396.00
"UNITED ST2"|"UNITED ST6"|1995|37146288.00
"UNITED ST9"|"UNITED ST5"|1995|36009924.00
"UNITED ST1"|"UNITED ST8"|1995|34918793.00
"UNITED ST8"|"UNITED ST1"|1995|34217780.00
"UNITED ST0"|"UNITED ST7"|1995|33395313.00
"UNITED ST1"|"UNITED ST5"|1995|31857452.00
"UNITED ST8"|"UNITED ST7"|1995|30918202.00
"UNITED ST2"|"UNITED ST8"|1995|30504189.00
"UNITED ST3"|"UNITED ST4"|1995|30422346.00
"UNITED ST5"|"UNITED ST6"|1995|30204737.00
"UNITED ST8"|"UNITED ST3"|1995|29349938.00
"UNITED ST0"|"UNITED ST4"|1995|29170038.00
"UNITED ST1"|"UNITED ST6"|1995|27139403.00
"UNITED ST7"|"UNITED ST8"|1995|26444490.00
"UNITED ST6"|"UNITED ST7"|1995|23833977.00
"UNITED ST4"|"UNITED ST8"|1995|23053236.00
"UNITED ST4"|"UNITED ST2"|1995|22787003.00
"UNITED ST3"|"UNITED ST8"|1995|22505239.00
"UNITED ST9"|"UNITED ST8"|1995|21292527.00
"UNITED ST8"|"UNITED ST4"|1995|19287311.00
"UNITED ST8"|"UNITED ST2"|1995|18282990.00
"UNITED ST9"|"UNITED ST3"|1995|17539102.00
"UNITED ST3"|"UNITED ST6"|1995|16738530.00
"UNITED ST0"|"UNITED ST8"|1995|16393249.00
"UNITED ST5"|"UNITED ST2"|1995|14951023.00
"UNITED ST2"|"UNITED ST2"|1995|13455031.00
"UNITED ST5"|"UNITED ST8"|1995|13346932.00
"UNITED ST3"|"UNITED ST2"|1995|12886829.00
"UNITED ST9"|"UNITED ST2"|1995|12653362.00
"UNITED ST0"|"UNITED ST5"|1995|11453709.00
"UNITED ST6"|"UNITED ST2"|1995|11363551.00
"UNITED ST8"|"UNITED ST8"|1995|11285867.00
"UNITED ST1"|"UNITED ST2"|1995|7991676.00
"UNITED ST0"|"UNITED ST2"|1995|4776460.00
"UNITED ST7"|"UNITED ST2"|1995|3973565.00
"UNITED ST6"|"UNITED ST0"|1996|132286763.00
"UNITED ST4"|"UNITED ST0"|1996|106897563.00
"UNITED ST5"|"UNITED ST0"|1996|104501979.00
"UNITED ST0"|"UNITED ST4"|1996|103228749.00
"UNITED ST9"|"UNITED ST1"|1996|101983827.00
"UNITED ST1"|"UNITED ST0"|1996|94861554.00
"UNITED ST0"|"UNITED ST1"|1996|91948777.00
"UNITED ST6"|"UNITED ST1"|1996|89705870.00
"UNITED ST2"|"UNITED ST1"|1996|88256155.00
"UNITED ST1"|"UNITED ST1"|1996|87265848.00
"UNITED ST4"|"UNITED ST7"|1996|83677814.00
"UNITED ST6"|"UNITED ST3"|1996|82168229.00
"UNITED ST2"|"UNITED ST7"|1996|80468477.00
"UNITED ST8"|"UNITED ST1"|1996|78971756.00
"UNITED ST7"|"UNITED ST4"|1996|77941011.00
"UNITED ST1"|"UNITED ST3"|1996|77610905.00
"UNITED ST9"|"UNITED ST9"|1996|77301740.00
"UNITED ST0"|"UNITED ST9"|1996|75935209.00
"UNITED ST7"|"UNITED ST0"|1996|75602445.00
"UNITED ST3"|"UNITED ST1"|1996|74746699.00
"UNITED ST7"|"UNITED ST7"|1996|74040644.00
"UNITED ST4"|"UNITED ST1"|1996|72819867.00
"UNITED ST5"|"UNITED ST9"|1996|72614114.00
"UNITED ST1"|"UNITED ST9"|1996|69823769.00
"UNITED ST9"|"UNITED ST4"|1996|69616614.00
"UNITED ST6"|"UNITED ST4"|1996|69296005.00
"UNITED ST2"|"UNITED ST0"|1996|67095122.00
"UNITED ST5"|"UNITED ST1"|1996|65346389.00
"UNITED ST6"|"UNITED ST9"|1996|63256182.00
"UNITED ST4"|"UNITED ST6"|1996|62189328.00
"UNITED ST0"|"UNITED ST0"|1996|61528855.00
"UNITED ST8"|"UNITED ST9"|1996|60466691.00
"UNITED ST3"|"UNITED ST0"|1996|60226840.00
"UNITED ST8"|"UNITED ST6"|1996|59746655.00
"UNITED ST2"|"UNITED ST3"|1996|59648598.00
"UNITED ST0"|"UNITED ST5"|1996|57762895.00
"UNITED ST8"|"UNITED ST7"|1996|57523925.00
"UNITED ST2"|"UNITED ST4"|1996|57487057.00
"UNITED ST6"|"UNITED ST7"|1996|57090619.00
"UNITED ST3"|"UNITED ST4"|1996|54838259.00
"UNITED ST4"|"UNITED ST9"|1996|54134840.00
"UNITED ST1"|"UNITED ST6"|1996|54056366.00
"UNITED ST3"|"UNITED ST7"|1996|53987218.00
"UNITED ST2"|"UNITED ST9"|1996|53491415.00
"UNITED ST4"|"UNITED ST8"|1996|53035662.00
"UNITED ST9"|"UNITED ST5"|1996|52825922.00
"UNITED ST7"|"UNITED ST3"|1996|52356886.00
"UNITED ST6"|"UNITED ST8"|1996|52136784.00
"UNITED ST1"|"UNITED ST5"|1996|51189649.00
"UNITED ST8"|"UNITED ST4"|1996|51033054.00
"UNITED ST1"|"UNITED ST4"|1996|50135547.00
"UNITED ST3"|"UNITED ST9"|1996|49612304.00
"UNITED ST9"|"UNITED ST0"|1996|49590701.00
"UNITED ST3"|"UNITED ST3"|1996|49263796.00
"UNITED ST9"|"UNITED ST7"|1996|48798759.00
"UNITED ST7"|"UNITED ST1"|1996|48784175.00
"UNITED ST9"|"UNITED ST6"|1996|48685063.00
"UNITED ST2"|"UNITED ST5"|1996|47028976.00
"UNITED ST9"|"UNITED ST3"|1996|47021018.00
"UNITED ST2"|"UNITED ST8"|1996|46865113.00
"UNITED ST4"|"UNITED ST3"|1996|46460940.00
"UNITED ST6"|"UNITED ST5"|1996|46030104.00
"UNITED ST2"|"UNITED ST6"|1996|45416649.00
"UNITED ST8"|"UNITED ST5"|1996|43480473.00
"UNITED ST5"|"UNITED ST5"|1996|43020722.00
"UNITED ST6"|"UNITED ST6"|1996|42923032.00
"UNITED ST4"|"UNITED ST5"|1996|42808412.00
"UNITED ST3"|"UNITED ST6"|1996|41881628.00
"UNITED ST1"|"UNITED ST7"|1996|41721506.00
"UNITED ST5"|"UNITED ST7"|1996|40946330.00
"UNITED ST8"|"UNITED ST0"|1996|39845427.00
"UNITED ST8"|"UNITED ST3"|1996|39535940.00
"UNITED ST1"|"UNITED ST8"|1996|39430882.00
"UNITED ST5"|"UNITED ST6"|1996|38332044.00
"UNITED ST0"|"UNITED ST6"|1996|37232062.00
"UNITED ST7"|"UNITED ST6"|1996|36535628.00
"UNITED ST9"|"UNITED ST8"|1996|36112301.00
"UNITED ST3"|"UNITED ST8"|1996|33924732.00
"UNITED ST3"|"UNITED ST5"|1996|33717439.00
"UNITED ST5"|"UNITED ST4"|1996|33424859.00
"UNITED ST5"|"UNITED ST3"|1996|32919926.00
